config_idx,config_name,n_ae_layers,latent_percent,n_header_layers,unit_type,mask_percent,activation,loss,optimizer,learning_rate,batch_size,epochs_ae,epochs_header,test_mae,final_ae_loss,final_header_loss,baseline_lstm_mae,mae_diff_lstm,better_than_LSTM,baseline_gru_mae,mae_diff_gru,better_than_GRU,status
34,ae1_lat80_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.8,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.020626059,0.018364734947681427,0.020626062527298927,0.014768963,0.005857096,False,0.014342984,0.0062830746,False,success
25,ae1_lat80_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.8,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.021089409,0.027526546269655228,0.021089408546686172,0.014768963,0.006320446,False,0.014342984,0.0067464244,False,success
52,ae2_lat50_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.5,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.021114884,0.021816130727529526,0.021114885807037354,0.014768963,0.006345921,False,0.014342984,0.0067718998,False,success
28,ae1_lat80_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.8,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.021233259,0.019287684932351112,0.02123326063156128,0.014768963,0.006464296,False,0.014342984,0.0068902746,False,success
58,ae2_lat50_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.5,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.021404026,0.02469840832054615,0.021404027938842773,0.014768963,0.0066350633,False,0.014342984,0.007061042,False,success
67,ae2_lat80_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.8,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.021839274,0.023521577939391136,0.02183927223086357,0.014768963,0.0070703113,False,0.014342984,0.00749629,False,success
59,ae2_lat50_hd2_gru_m50_relu_adam_lr0.001_bs64_mae,2,0.5,2,GRU,0.5,relu,mae,adam,0.001,64,10,15,0.021876011,0.02853715792298317,0.022320080548524857,0.014768963,0.0071070483,False,0.014342984,0.007533027,False,success
64,ae2_lat80_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.8,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.022021148,0.01702692173421383,0.02202114835381508,0.014768963,0.0072521856,False,0.014342984,0.007678164,False,success
36,ae1_lat80_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.8,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.02202905,0.026587536558508873,0.022029053419828415,0.014768963,0.007260087,False,0.014342984,0.0076860655,False,success
70,ae2_lat80_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.8,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.022406165,0.016913244500756264,0.022406164556741714,0.014768963,0.007637202,False,0.014342984,0.00806318,False,success
35,ae1_lat80_hd2_gru_m50_relu_adam_lr0.001_bs64_mae,1,0.8,2,GRU,0.5,relu,mae,adam,0.001,64,10,15,0.0225114,0.02670980431139469,0.022511396557092667,0.014768963,0.0077424375,False,0.014342984,0.008168416,False,success
29,ae1_lat80_hd1_gru_m50_relu_adam_lr0.001_bs64_mae,1,0.8,1,GRU,0.5,relu,mae,adam,0.001,64,10,15,0.022673564,0.023503607138991356,0.02267356403172016,0.014768963,0.007904601,False,0.014342984,0.00833058,False,success
62,ae2_lat80_hd1_lstm_m50_relu_adam_lr0.001_bs64_mae,2,0.8,1,LSTM,0.5,relu,mae,adam,0.001,64,10,15,0.023197128,0.032703906297683716,0.023197125643491745,0.014768963,0.008428165,False,0.014342984,0.008854143,False,success
19,ae1_lat50_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.5,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.023226868,0.03263942897319794,0.023226866498589516,0.014768963,0.008457906,False,0.014342984,0.008883884,False,success
65,ae2_lat80_hd1_gru_m50_relu_adam_lr0.001_bs64_mae,2,0.8,1,GRU,0.5,relu,mae,adam,0.001,64,10,15,0.023655517,0.03282489627599716,0.023655518889427185,0.014768963,0.008886554,False,0.014342984,0.009312533,False,success
23,ae1_lat50_hd2_gru_m50_relu_adam_lr0.001_bs64_mae,1,0.5,2,GRU,0.5,relu,mae,adam,0.001,64,10,15,0.023760835,0.030856868252158165,0.0237608440220356,0.014768963,0.008991872,False,0.014342984,0.0094178505,False,success
30,ae1_lat80_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.8,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.024374263,0.03659985587000847,0.024374261498451233,0.014768963,0.009605301,False,0.014342984,0.010031279,False,success
13,ae1_lat50_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.5,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.024880255,0.034640274941921234,0.024919208139181137,0.014768963,0.010111292,False,0.014342984,0.01053727,False,success
27,ae1_lat80_hd1_lstm_m80_relu_adam_lr0.001_bs64_mae,1,0.8,1,LSTM,0.8,relu,mae,adam,0.001,64,10,15,0.025357224,0.04074433073401451,0.02535722404718399,0.014768963,0.010588261,False,0.014342984,0.01101424,False,success
32,ae1_lat80_hd2_lstm_m50_relu_adam_lr0.001_bs64_mae,1,0.8,2,LSTM,0.5,relu,mae,adam,0.001,64,10,15,0.025518877,0.030449355021119118,0.025518879294395447,0.014768963,0.010749915,False,0.014342984,0.011175893,False,success
31,ae1_lat80_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.8,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.025526794,0.02319200523197651,0.02552678994834423,0.014768963,0.010757831,False,0.014342984,0.0111838095,False,success
71,ae2_lat80_hd2_gru_m50_relu_adam_lr0.001_bs64_mae,2,0.8,2,GRU,0.5,relu,mae,adam,0.001,64,10,15,0.025673768,0.0258097592741251,0.02567376382648945,0.014768963,0.010904805,False,0.014342984,0.011330783,False,success
66,ae2_lat80_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,2,0.8,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.02640025,0.027801621705293655,0.02640024945139885,0.014768963,0.011631287,False,0.014342984,0.012057265,False,success
18,ae1_lat50_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.5,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.02653442,0.03954687342047691,0.026534428820014,0.014768963,0.011765457,False,0.014342984,0.012191435,False,success
61,ae2_lat80_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.8,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.02673614,0.03182148560881615,0.026736142113804817,0.014768963,0.0119671775,False,0.014342984,0.012393156,False,success
53,ae2_lat50_hd1_gru_m50_relu_adam_lr0.001_bs64_mae,2,0.5,1,GRU,0.5,relu,mae,adam,0.001,64,10,15,0.026761472,0.03235689923167229,0.026761464774608612,0.014768963,0.0119925095,False,0.014342984,0.012418488,False,success
60,ae2_lat50_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,2,0.5,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.02690099,0.035321176052093506,0.02990436553955078,0.014768963,0.012132027,False,0.014342984,0.012558006,False,success
33,ae1_lat80_hd2_lstm_m80_relu_adam_lr0.001_bs64_mae,1,0.8,2,LSTM,0.8,relu,mae,adam,0.001,64,10,15,0.026980536,0.04590684548020363,0.026980534195899963,0.014768963,0.012211573,False,0.014342984,0.012637552,False,success
12,ae1_lat20_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.2,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.02725701,0.05919579416513443,0.028827883303165436,0.014768963,0.012488048,False,0.014342984,0.012914026,False,success
16,ae1_lat50_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.5,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.027684415,0.03272765129804611,0.027684416621923447,0.014768963,0.012915452,False,0.014342984,0.013341431,False,success
63,ae2_lat80_hd1_lstm_m80_relu_adam_lr0.001_bs64_mae,2,0.8,1,LSTM,0.8,relu,mae,adam,0.001,64,10,15,0.02781685,0.03963654115796089,0.02781684882938862,0.014768963,0.013047888,False,0.014342984,0.0134738665,False,success
68,ae2_lat80_hd2_lstm_m50_relu_adam_lr0.001_bs64_mae,2,0.8,2,LSTM,0.5,relu,mae,adam,0.001,64,10,15,0.02804269,0.034859802573919296,0.028042690828442574,0.014768963,0.013273728,False,0.014342984,0.013699707,False,success
55,ae2_lat50_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.5,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.028196115,0.035215530544519424,0.02819611132144928,0.014768963,0.013427152,False,0.014342984,0.013853131,False,success
21,ae1_lat50_hd2_lstm_m80_relu_adam_lr0.001_bs64_mae,1,0.5,2,LSTM,0.8,relu,mae,adam,0.001,64,10,15,0.028848235,0.05572313442826271,0.028848228976130486,0.014768963,0.014079272,False,0.014342984,0.01450525,False,success
22,ae1_lat50_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.5,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.028861178,0.03559946268796921,0.029742199927568436,0.014768963,0.014092215,False,0.014342984,0.014518194,False,success
44,ae2_lat20_hd2_lstm_m50_relu_adam_lr0.001_bs64_mae,2,0.2,2,LSTM,0.5,relu,mae,adam,0.001,64,10,15,0.02897194,0.05526796355843544,0.029811348766088486,0.014768963,0.0142029775,False,0.014342984,0.014628956,False,success
17,ae1_lat50_hd1_gru_m50_relu_adam_lr0.001_bs64_mae,1,0.5,1,GRU,0.5,relu,mae,adam,0.001,64,10,15,0.02898787,0.038089703768491745,0.028987877070903778,0.014768963,0.014218907,False,0.014342984,0.014644885,False,success
42,ae2_lat20_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,2,0.2,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.029100493,0.055362604558467865,0.029100492596626282,0.014768963,0.01433153,False,0.014342984,0.014757508,False,success
11,ae1_lat20_hd2_gru_m50_relu_adam_lr0.001_bs64_mae,1,0.2,2,GRU,0.5,relu,mae,adam,0.001,64,10,15,0.029145109,0.04548560455441475,0.029145115986466408,0.014768963,0.014376146,False,0.014342984,0.014802124,False,success
51,ae2_lat50_hd1_lstm_m80_relu_adam_lr0.001_bs64_mae,2,0.5,1,LSTM,0.8,relu,mae,adam,0.001,64,10,15,0.02956013,0.055484838783741,0.029599126428365707,0.014768963,0.014791167,False,0.014342984,0.015217146,False,success
26,ae1_lat80_hd1_lstm_m50_relu_adam_lr0.001_bs64_mae,1,0.8,1,LSTM,0.5,relu,mae,adam,0.001,64,10,15,0.029670382,0.035635560750961304,0.02967037633061409,0.014768963,0.014901419,False,0.014342984,0.015327398,False,success
47,ae2_lat20_hd2_gru_m50_relu_adam_lr0.001_bs64_mae,2,0.2,2,GRU,0.5,relu,mae,adam,0.001,64,10,15,0.029687515,0.036321695894002914,0.029688971117138863,0.014768963,0.014918552,False,0.014342984,0.01534453,False,success
56,ae2_lat50_hd2_lstm_m50_relu_adam_lr0.001_bs64_mae,2,0.5,2,LSTM,0.5,relu,mae,adam,0.001,64,10,15,0.029750934,0.0534256286919117,0.029923463240265846,0.014768963,0.014981971,False,0.014342984,0.01540795,False,success
6,ae1_lat20_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.2,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.029877378,0.05701084062457085,0.029877381399273872,0.014768963,0.015108415,False,0.014342984,0.0155343935,False,success
38,ae2_lat20_hd1_lstm_m50_relu_adam_lr0.001_bs64_mae,2,0.2,1,LSTM,0.5,relu,mae,adam,0.001,64,10,15,0.029950745,0.038372840732336044,0.029950741678476334,0.014768963,0.015181783,False,0.014342984,0.015607761,False,success
50,ae2_lat50_hd1_lstm_m50_relu_adam_lr0.001_bs64_mae,2,0.5,1,LSTM,0.5,relu,mae,adam,0.001,64,10,15,0.029962718,0.05420402064919472,0.02996271476149559,0.014768963,0.015193756,False,0.014342984,0.015619734,False,success
24,ae1_lat50_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.5,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.030331772,0.04198102280497551,0.030401205644011497,0.014768963,0.015562809,False,0.014342984,0.015988788,False,success
