,config_idx,config_name,n_ae_layers,latent_percent,n_header_layers,unit_type,mask_percent,activation,loss,optimizer,learning_rate,batch_size,epochs_ae,epochs_header,test_mae,final_ae_loss,final_header_loss,baseline_lstm_mae,mae_diff_lstm,better_than_LSTM,baseline_gru_mae,mae_diff_gru,better_than_GRU,status
116,117,ae2_lat50_hd3_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.5,3,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.023234475,0.03789599612355232,0.023234473541378975,0.0067489045,0.016485572,False,0.0031995466,0.020034928,False,success
64,65,ae1_lat75_hd3_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.75,3,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.023262015,0.03332339599728584,0.023262012749910355,0.0067489045,0.01651311,False,0.0031995466,0.020062469,False,success
52,53,ae1_lat75_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.75,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.02348412,0.03159962221980095,0.02426408790051937,0.0067489045,0.016735215,False,0.0031995466,0.020284574,False,success
55,56,ae1_lat75_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.75,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.02354708,0.04205578193068504,0.02508348412811756,0.0067489045,0.016798176,False,0.0031995466,0.020347532,False,success
204,205,ae3_lat75_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,3,0.75,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.023650803,0.030893448740243912,0.023650802671909332,0.0067489045,0.0169019,False,0.0031995466,0.020451255,False,success
50,51,ae1_lat75_hd1_lstm_m60_relu_adam_lr0.001_bs64_mae,1,0.75,1,LSTM,0.6,relu,mae,adam,0.001,64,10,15,0.024332428,0.04415077343583107,0.024332430213689804,0.0067489045,0.017583523,False,0.0031995466,0.021132883,False,success
206,207,ae3_lat75_hd2_gru_m60_relu_adam_lr0.001_bs64_mae,3,0.75,2,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.024371741,0.033995047211647034,0.024371745064854622,0.0067489045,0.017622836,False,0.0031995466,0.021172196,False,success
180,181,ae3_lat50_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,3,0.5,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.024485921,0.032115381211042404,0.02448592148721218,0.0067489045,0.017737016,False,0.0031995466,0.021286376,False,success
58,59,ae1_lat75_hd2_lstm_m60_relu_adam_lr0.001_bs64_mae,1,0.75,2,LSTM,0.6,relu,mae,adam,0.001,64,10,15,0.024659414,0.04525521770119667,0.0246594175696373,0.0067489045,0.01791051,False,0.0031995466,0.021459866,False,success
31,32,ae1_lat50_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.5,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.024710333,0.05618561431765556,0.02471032366156578,0.0067489045,0.017961428,False,0.0031995466,0.021510787,False,success
