config_idx,config_name,n_ae_layers,latent_percent,n_header_layers,unit_type,mask_percent,activation,loss,optimizer,learning_rate,batch_size,epochs_ae,epochs_header,test_mae,final_ae_loss,final_header_loss,baseline_lstm_mae,mae_diff_lstm,better_than_LSTM,baseline_gru_mae,mae_diff_gru,better_than_GRU,status
21,ae1_lat80_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.8,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.010669986,0.015343674458563328,0.010669989511370659,0.0031365415,0.007533444,False,0.005138555,0.0055314307,False,success
29,ae1_lat80_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.8,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.012198987,0.018464580178260803,0.012198989279568195,0.0031365415,0.009062446,False,0.005138555,0.0070604323,False,success
25,ae1_lat80_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.8,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.017292975,0.02173706330358982,0.017292974516749382,0.0031365415,0.014156433,False,0.005138555,0.012154419,False,success
17,ae1_lat80_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.8,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.018388178,0.023205723613500595,0.018388181924819946,0.0031365415,0.0152516365,False,0.005138555,0.013249623,False,success
61,ae2_lat80_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.8,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.019914147,0.018445437774062157,0.019914142787456512,0.0031365415,0.016777605,False,0.005138555,0.014775591,False,success
62,ae2_lat80_hd2_gru_m20_relu_adam_lr0.0001_bs64_mae,2,0.8,2,GRU,0.2,relu,mae,adam,0.0001,64,10,15,0.020804701,0.047368504106998444,0.02080470323562622,0.0031365415,0.01766816,False,0.005138555,0.015666146,False,success
5,ae1_lat50_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.5,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.021167764,0.02580876462161541,0.025314627215266228,0.0031365415,0.018031223,False,0.005138555,0.016029209,False,success
13,ae1_lat50_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.5,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.021700364,0.027115944772958755,0.021851034834980965,0.0031365415,0.018563822,False,0.005138555,0.016561808,False,success
49,ae2_lat80_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.8,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.021866579,0.028501689434051514,0.02186657302081585,0.0031365415,0.018730037,False,0.005138555,0.016728023,False,success
24,ae1_lat80_hd1_gru_m80_relu_adam_lr0.0001_bs64_mae,1,0.8,1,GRU,0.8,relu,mae,adam,0.0001,64,10,15,0.02225792,0.06277170777320862,0.02225792035460472,0.0031365415,0.019121379,False,0.005138555,0.017119365,False,success
9,ae1_lat50_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.5,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.02239304,0.031257905066013336,0.022580837830901146,0.0031365415,0.019256499,False,0.005138555,0.017254485,False,success
53,ae2_lat80_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.8,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.022615315,0.022158460691571236,0.02261531539261341,0.0031365415,0.019478774,False,0.005138555,0.01747676,False,success
31,ae1_lat80_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.8,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.022739071,0.03309106454253197,0.022739071398973465,0.0031365415,0.01960253,False,0.005138555,0.017600516,False,success
55,ae2_lat80_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,2,0.8,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.022773257,0.028130630031228065,0.02277325466275215,0.0031365415,0.019636715,False,0.005138555,0.017634701,False,success
45,ae2_lat50_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.5,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.022958346,0.030334854498505592,0.022958343848586082,0.0031365415,0.019821804,False,0.005138555,0.01781979,False,success
23,ae1_lat80_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.8,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.022982733,0.029241034761071205,0.022982725873589516,0.0031365415,0.019846192,False,0.005138555,0.017844178,False,success
